covariate,posterior_mean,lower_95,upper_95,credible_interval
Intercept,-1.3415653638801148,-1.771039502990507,-0.9120912247697226,"(-1.771, -0.912)"
TSI (lag 3),0.1841908822064351,0.07964909823134654,0.2887326661815236,"(0.080, 0.289)"
HSI (lag 2),0.004756589847570879,-0.07432475524905532,0.08383793494419707,"(-0.074, 0.084)"
LST day (lag 0),0.14261911700793647,0.027729444168372627,0.2575087898475003,"(0.028, 0.258)"
Aridity index,0.5471037171519748,0.368424378461661,0.7257830558422886,"(0.368, 0.726)"
EVI (lag 2),0.3121528380018809,0.19996350227556464,0.4243421737281971,"(0.200, 0.424)"
Distance to water,-0.08848692892460405,-0.22364258687895772,0.046668729029749584,"(-0.224, 0.047)"
Access to cities (log1p),0.6694406103041345,0.48585339795835447,0.8530278226499145,"(0.486, 0.853)"
Slope,-0.08707146711237565,-0.15690411224542333,-0.017238821979327967,"(-0.157, -0.017)"
