var,WAIC,DIC,n,status,error_message,raw_covariate,base,lag,group,retained_in_manuscript
z_EVI_lag2,7024.220335759888,6728.285522429873,2066,ok,NA,EVI_lag2,EVI,2,greenwet,TRUE
z_EVI_lag1,7027.528192377158,6729.791697755737,2066,ok,NA,EVI_lag1,EVI,1,greenwet,FALSE
z_EVI_lag3,7039.833156512144,6740.678487040595,2066,ok,NA,EVI_lag3,EVI,3,greenwet,FALSE
z_TCW_lag0,7041.107614234024,6738.651948236633,2066,ok,NA,TCW_lag0,TCW,0,greenwet,FALSE
z_TCW_lag1,7044.1796825468555,6741.2251373295285,2066,ok,NA,TCW_lag1,TCW,1,greenwet,FALSE
z_LST_night_lag0,7048.31881311431,6743.03592718358,2066,ok,NA,LST_night_lag0,LST_night,0,thermal,FALSE
z_TCW_lag2,7049.102810980841,6745.041262804411,2066,ok,NA,TCW_lag2,TCW,2,greenwet,FALSE
z_LST_day_lag0,7049.401585944703,6742.828007319186,2066,ok,NA,LST_day_lag0,LST_day,0,thermal,TRUE
z_Aridity_Index,7055.257071223357,6750.9885169441895,2066,ok,NA,Aridity_Index,Aridity_Index,NA,atmospheric,TRUE
z_EVI_lag0,7055.881347826409,6748.734452983219,2066,ok,NA,EVI_lag0,EVI,0,greenwet,FALSE
z_TSI_lag3,7056.050965166586,6746.186288415775,2066,ok,NA,TSI_lag3,TSI,3,NA,TRUE
z_TCB_lag0,7057.178529448728,6750.200168046897,2066,ok,NA,TCB_lag0,TCB,0,greenwet,FALSE
z_HSI_lag2,7057.885952331708,6749.3321733831235,2066,ok,NA,HSI_lag2,HSI,2,NA,TRUE
z_TSI_lag0,7060.180958019573,6750.872214908657,2066,ok,NA,TSI_lag0,TSI,0,NA,FALSE
z_LST_day_lag1,7060.763661022852,6752.773840387497,2066,ok,NA,LST_day_lag1,LST_day,1,thermal,FALSE
z_TSI_lag2,7061.0180163866835,6748.721709493862,2066,ok,NA,TSI_lag2,TSI,2,NA,FALSE
z_LST_night_lag3,7061.2786989986735,6750.774895933013,2066,ok,NA,LST_night_lag3,LST_night,3,thermal,FALSE
z_LST_delta_lag3,7061.632071049138,6753.316134149973,2066,ok,NA,LST_delta_lag3,LST_delta,3,thermal,FALSE
z_PET_mm,7061.7506518904665,6755.998402065981,2066,ok,NA,PET_mm,PET_mm,NA,atmospheric,FALSE
z_LST_delta_lag1,7063.980194615771,6754.305190628889,2066,ok,NA,LST_delta_lag1,LST_delta,1,thermal,FALSE
z_HSI_lag3,7064.648507043847,6753.677571368022,2066,ok,NA,HSI_lag3,HSI,3,NA,FALSE
z_TCW_lag3,7066.487145225108,6757.470543449457,2066,ok,NA,TCW_lag3,TCW,3,greenwet,FALSE
z_LST_delta_lag0,7066.529986750903,6754.948824477034,2066,ok,NA,LST_delta_lag0,LST_delta,0,thermal,FALSE
z_Rain_lag3,7067.103507788494,6756.10712389151,2066,ok,NA,Rain_lag3,Rain,3,rainfall,FALSE
z_LST_delta_lag2,7069.1476669752465,6758.300075662125,2066,ok,NA,LST_delta_lag2,LST_delta,2,thermal,FALSE
z_TCB_lag1,7070.280335380854,6759.621304823422,2066,ok,NA,TCB_lag1,TCB,1,greenwet,FALSE
z_LST_night_lag1,7071.522297231989,6760.148846064362,2066,ok,NA,LST_night_lag1,LST_night,1,thermal,FALSE
z_Rain_lag2,7071.534963815245,6759.624654814408,2066,ok,NA,Rain_lag2,Rain,2,rainfall,FALSE
z_Elevation_m,7072.582883347875,6760.675201962095,2066,ok,NA,Elevation_m,Elevation_m,NA,terrain,FALSE
z_LST_night_lag2,7073.184734535804,6759.24161032698,2066,ok,NA,LST_night_lag2,LST_night,2,thermal,FALSE
z_DistToWater_m,7074.858897316881,6762.085490466885,2066,ok,NA,DistToWater_m,DistToWater_m,NA,hydrology,TRUE
z_LST_day_lag2,7075.9437375438265,6763.4918616115565,2066,ok,NA,LST_day_lag2,LST_day,2,thermal,FALSE
z_Slope_deg,7076.9390096813495,6761.7757545370605,2066,ok,NA,Slope_deg,Slope_deg,NA,terrain,TRUE
z_Rain_lag0,7077.106093659403,6763.2252426129235,2066,ok,NA,Rain_lag0,Rain,0,rainfall,FALSE
z_TWI,7077.4866753854385,6763.482878640295,2066,ok,NA,TWI,TWI,NA,hydrology,FALSE
z_TSI_lag1,7077.584504213253,6763.371400424898,2066,ok,NA,TSI_lag1,TSI,1,NA,FALSE
z_HSI_lag1,7077.796303653129,6763.540765053994,2066,ok,NA,HSI_lag1,HSI,1,NA,FALSE
z_LST_day_lag3,7078.441959790925,6765.307458759094,2066,ok,NA,LST_day_lag3,LST_day,3,thermal,FALSE
z_TCB_lag3,7078.923316743641,6764.521531525987,2066,ok,NA,TCB_lag3,TCB,3,greenwet,FALSE
z_TCB_lag2,7079.756632411951,6765.571133517007,2066,ok,NA,TCB_lag2,TCB,2,greenwet,FALSE
z_Rain_lag1,7080.912611406358,6765.089379492439,2066,ok,NA,Rain_lag1,Rain,1,rainfall,FALSE
z_HSI_lag0,7081.159536114767,6766.256265262848,2066,ok,NA,HSI_lag0,HSI,0,NA,FALSE
z_Access_Cities_log1p,7082.24647109037,6768.65770687734,2066,ok,NA,Access_Cities_log1p,Access_Cities_log1p,NA,human_accessibility,TRUE
z_Access_Health_log1p,7089.0002743403575,6774.353692540413,2066,ok,NA,Access_Health_log1p,Access_Health_log1p,NA,human_accessibility,FALSE
z_NTL_stable,7089.858591468295,6775.696722740709,2066,ok,NA,NTL_stable,NTL_stable,NA,human_accessibility,FALSE
z_WorldPop_static,7094.334954887257,6779.926581064579,2066,ok,NA,WorldPop_static,WorldPop_static,NA,human_accessibility,FALSE
