covariate,retained_in_final_model,n_missing_obs,pct_missing_obs,n_missing_grid,pct_missing_grid,standardisation_mean,standardisation_sd,imputation_observations,imputation_prediction_grid
Access_Cities_log1p,TRUE,0,0,0,0,3.2285299710949644,1.730525787853704,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
Aridity_Index,TRUE,47,2.2749273959341725,0,0,0.13322157018189237,0.07674681640741828,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
DistToWater_m,TRUE,45,2.1781219748305904,0,0,1712320.1165071437,1848853.76213107,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
EVI_lag2,TRUE,59,2.855759922555663,0,0,0.30802423800989115,0.0946633415862142,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
HSI_lag2,TRUE,82,3.9690222652468536,0,0,50.2625270747418,70.08031082982046,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_day_lag0,TRUE,86,4.162633107454018,0,0,30.270841933741714,5.31795810582756,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
Slope_deg,TRUE,95,4.598257502420135,0,0,0.8938573361263398,0.8905501503202908,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TSI_lag3,TRUE,87,4.211035818005809,0,0,0.5923482849703756,0.2426795524672686,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
Access_Health_log1p,FALSE,40,1.936108422071636,0,0,2.662284466982604,0.9805353923120782,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
EVI_lag0,FALSE,59,2.855759922555663,0,0,0.26159161277668475,0.0827867010726541,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
EVI_lag1,FALSE,59,2.855759922555663,0,0,0.27959009027549386,0.08652393086077466,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
EVI_lag3,FALSE,59,2.855759922555663,0,0,0.3382624902859456,0.10248998201009574,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
Elevation_m,FALSE,0,0,0,0,288.79631551338537,338.2495235054647,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
HSI_lag0,FALSE,82,3.9690222652468536,0,0,31.483331010543868,53.19081617561813,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
HSI_lag1,FALSE,82,3.9690222652468536,0,0,35.31614690113659,54.98460499990978,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
HSI_lag3,FALSE,82,3.9690222652468536,0,0,76.00701992023076,85.73180960539626,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_day_lag1,FALSE,86,4.162633107454018,0,0,29.234676646222972,4.887580668486318,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_day_lag2,FALSE,86,4.162633107454018,0,0,28.813597985469933,4.30687005768892,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_day_lag3,FALSE,86,4.162633107454018,0,0,28.766389911343353,3.7894095371884737,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_delta_lag0,FALSE,86,4.162633107454018,0,0,12.56150723695755,3.727164416827629,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_delta_lag1,FALSE,86,4.162633107454018,0,0,11.754823667593676,3.58851867205264,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_delta_lag2,FALSE,86,4.162633107454018,0,0,10.960294914245605,3.445439486656426,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_delta_lag3,FALSE,86,4.162633107454018,0,0,10.116142582532131,3.1373926502912486,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_night_lag0,FALSE,86,4.162633107454018,0,0,17.709334722191397,3.5574393327411853,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_night_lag1,FALSE,86,4.162633107454018,0,0,17.479852970200355,3.3092244113920346,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_night_lag2,FALSE,86,4.162633107454018,0,0,17.85330307170598,3.1539384006732982,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
LST_night_lag3,FALSE,86,4.162633107454018,0,0,18.650247375411215,3.1447350543202233,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
NTL_stable,FALSE,45,2.1781219748305904,0,0,3.466490471550346,6.666884210243002,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
PET_mm,FALSE,47,2.2749273959341725,0,0,1424.1769137106182,181.9563617022723,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
Rain_lag0,FALSE,76,3.6786060019361084,0,0,40.33554567787515,62.98666669553461,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
Rain_lag1,FALSE,76,3.6786060019361084,0,0,36.29217061420968,54.78876501389916,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
Rain_lag2,FALSE,76,3.6786060019361084,0,0,41.33233312847753,62.937581163286225,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
Rain_lag3,FALSE,76,3.6786060019361084,0,0,62.17102879097992,75.74541924539622,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TCB_lag0,FALSE,59,2.855759922555663,0,0,0.44275617870485007,0.06689033548926326,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TCB_lag1,FALSE,59,2.855759922555663,0,0,0.4355901799646847,0.06309067641732125,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TCB_lag2,FALSE,59,2.855759922555663,0,0,0.43707694439194245,0.05982327680999322,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TCB_lag3,FALSE,59,2.855759922555663,0,0,0.44595491363447465,0.060313944399951074,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TCW_lag0,FALSE,59,2.855759922555663,0,0,-0.255884478415312,0.05765981309717842,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TCW_lag1,FALSE,59,2.855759922555663,0,0,-0.24290743604577117,0.057986240259324744,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TCW_lag2,FALSE,59,2.855759922555663,0,0,-0.23166131492338493,0.05593832347123363,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TCW_lag3,FALSE,59,2.855759922555663,0,0,-0.22515662051607377,0.052136470513493925,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TSI_lag0,FALSE,87,4.211035818005809,0,0,0.48564133198366116,0.27100541771054876,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TSI_lag1,FALSE,87,4.211035818005809,0,0,0.49426436999438317,0.25487972016880867,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TSI_lag2,FALSE,87,4.211035818005809,0,0,0.5373474888460774,0.24368533052243216,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
TWI,FALSE,49,2.371732817037754,0,0,6.671871374193607,1.0290737969392691,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
WorldPop_static,FALSE,57,2.7589545014520813,0,0,10.969616604200414,20.63174421422945,Observation-data mean (zero after standardisation),Observation-data mean (zero after standardisation)
