decile,n_clusters,examined,positive,mean_pred,mean_obs,se_obs,lower,upper
1,207,1347,14,0.012431221220592502,0.010393466963622866,0.00276329784900228,0.004977403179578397,0.015809530747667333
2,207,1672,34,0.0325576075102118,0.02033492822966507,0.0034517711738437434,0.013569456728931333,0.027100399730398808
3,207,1866,74,0.07489181224811643,0.03965702036441586,0.004517700160206589,0.030802328050410947,0.048511712678420776
4,207,1973,153,0.12358696211375239,0.07754688291941206,0.006021307152275587,0.06574512090095191,0.0893486449378722
5,207,2190,351,0.19218769601622882,0.16027397260273973,0.007839317435716852,0.14490891042873472,0.17563903477674475
6,207,2175,531,0.27567184314222837,0.24413793103448275,0.0092110528724053,0.22608426740456836,0.2621915946643971
7,206,2174,828,0.38053690964980447,0.38086476540938363,0.010414738951738566,0.360451877063976,0.40127765375479124
8,206,2332,1255,0.5060889181433963,0.5381646655231561,0.010323736124836768,0.517930142718476,0.5583991883278362
9,206,2517,1674,0.6355020919951545,0.66507747318236,0.009407336756073111,0.6466390931404566,0.6835158532242633
10,206,2474,2081,0.7916542624147532,0.8411479385610348,0.007349076570645537,0.8267437484825695,0.8555521286395
