validation,probability_bin,n_clusters,examined,positive,mean_pred,mean_obs,se_obs,lower,upper
Spatial block 5-fold cross-validation,"[0,0.1]",314,2218,78,0.06564906583814371,0.0351668169522092,0.003911216670301767,0.027500832278417736,0.04283280162600066
Spatial block 5-fold cross-validation,"(0.1,0.2]",305,2700,358,0.15223549991184424,0.1325925925925926,0.006526634802503291,0.11980038837968615,0.14538479680549904
Spatial block 5-fold cross-validation,"(0.2,0.3]",381,3611,877,0.25324423642020366,0.2428690113541955,0.007136048928981526,0.22888235545339172,0.2568556672549993
Spatial block 5-fold cross-validation,"(0.3,0.4]",340,3589,1196,0.35097837335060494,0.33324045695179716,0.007868224657765887,0.31781873662257604,0.3486621772810183
Spatial block 5-fold cross-validation,"(0.4,0.5]",311,3487,1571,0.44760585296293115,0.45053054201319187,0.008425737481990896,0.4340160965484897,0.467044987477894
Spatial block 5-fold cross-validation,"(0.5,0.6]",228,2869,1614,0.5417733472605001,0.5625653537818055,0.009261424821258222,0.5444129611321393,0.5807177464314717
Spatial block 5-fold cross-validation,"(0.6,0.7]",130,1574,858,0.6393764079269381,0.5451080050825922,0.012551425800677148,0.520507210513265,0.5697087996519193
Spatial block 5-fold cross-validation,"(0.7,0.8]",51,604,393,0.7374863060754102,0.6506622516556292,0.019399122920283056,0.6126399707318744,0.688684532579384
Spatial block 5-fold cross-validation,"(0.8,0.9]",5,59,42,0.8399329964686172,0.711864406779661,0.05896184821343465,0.5962991842813291,0.8274296292779929
Spatial block 5-fold cross-validation,"(0.9,1]",1,9,8,0.9022192670151179,0.8888888888888888,0.10475656017578484,0.6835660309443505,1
